userId,courseId,designationId,progressStatus,last_updated,modulesCompleted,has_certificate,previous_update
2,119,5,in_progress,2024-07-18 11:08:39.000,6,0,
2,119,5,completed,2024-08-17 06:29:20.000,8,1,2024-07-18 11:08:39.000
2,331,5,in_progress,2024-01-18 01:59:25.000,6,0,
2,331,5,completed,2024-07-30 06:51:29.000,10,1,2024-01-18 01:59:25.000
3,341,7,in_progress,2023-12-05 03:41:02.000,19,0,
3,341,7,in_progress,2024-08-22 19:26:14.000,20,0,2023-12-05 03:41:02.000
3,341,7,in_progress,2024-09-23 16:17:57.000,22,0,2024-08-22 19:26:14.000
3,341,7,completed,2024-10-02 13:01:11.000,23,1,2024-09-23 16:17:57.000
3,367,7,in_progress,2023-10-19 02:23:32.000,9,0,
3,367,7,completed,2024-01-19 20:27:54.000,10,1,2023-10-19 02:23:32.000
4,357,7,in_progress,2024-09-09 22:45:05.000,3,0,
4,357,7,in_progress,2024-09-28 02:42:32.000,5,0,2024-09-09 22:45:05.000
4,357,7,completed,2024-09-29 07:12:47.000,7,1,2024-09-28 02:42:32.000
5,1,5,not_started,2024-10-07 11:22:24.714,0,0,
5,1,5,in_progress,2024-10-07 11:22:57.022,3,0,2024-10-07 11:22:24.714
5,3,5,not_started,2024-10-07 11:22:44.057,0,0,
5,110,5,in_progress,2023-12-19 08:03:57.000,8,0,
5,110,5,in_progress,2024-06-10 01:48:57.000,9,0,2023-12-19 08:03:57.000
5,110,5,in_progress,2024-07-19 07:18:54.000,13,0,2024-06-10 01:48:57.000
5,110,5,completed,2024-09-04 20:27:27.000,14,1,2024-07-19 07:18:54.000
5,231,5,in_progress,2024-03-12 04:21:11.000,3,0,
5,231,5,in_progress,2024-08-27 23:42:08.000,6,0,2024-03-12 04:21:11.000
5,231,5,in_progress,2024-09-11 14:35:20.000,9,0,2024-08-27 23:42:08.000
5,231,5,completed,2024-09-29 12:39:38.000,14,1,2024-09-11 14:35:20.000
6,381,5,in_progress,2024-03-20 02:13:34.000,1,0,
6,381,5,in_progress,2024-06-13 18:09:59.000,5,0,2024-03-20 02:13:34.000
6,381,5,in_progress,2024-08-17 04:10:42.000,8,0,2024-06-13 18:09:59.000
6,381,5,in_progress,2024-09-12 11:52:41.000,9,0,2024-08-17 04:10:42.000
6,381,5,in_progress,2024-10-04 10:11:47.000,11,0,2024-09-12 11:52:41.000
7,134,4,in_progress,2024-03-31 02:03:29.000,11,0,
7,134,4,in_progress,2024-05-24 23:13:19.000,28,0,2024-03-31 02:03:29.000
7,134,4,completed,2024-06-21 07:20:39.000,29,1,2024-05-24 23:13:19.000
7,239,4,in_progress,2024-01-13 19:39:15.000,0,0,
7,239,4,in_progress,2024-05-07 14:42:58.000,1,0,2024-01-13 19:39:15.000
7,239,4,in_progress,2024-06-18 05:54:20.000,3,0,2024-05-07 14:42:58.000
7,239,4,completed,2024-07-09 01:14:28.000,5,1,2024-06-18 05:54:20.000
8,51,5,in_progress,2024-09-11 16:44:48.000,7,0,
8,51,5,in_progress,2024-09-14 20:30:08.000,27,0,2024-09-11 16:44:48.000
8,51,5,in_progress,2024-09-15 01:38:58.000,28,0,2024-09-14 20:30:08.000
8,51,5,completed,2024-09-16 11:41:18.000,29,1,2024-09-15 01:38:58.000
9,9,3,in_progress,2024-09-28 02:28:22.000,2,0,
9,9,3,in_progress,2024-10-04 10:43:20.000,22,0,2024-09-28 02:28:22.000
9,9,3,in_progress,2024-10-05 13:07:43.000,25,0,2024-10-04 10:43:20.000
9,9,3,in_progress,2024-10-07 08:44:05.000,26,0,2024-10-05 13:07:43.000
9,9,3,in_progress,2024-10-07 08:55:31.000,28,0,2024-10-07 08:44:05.000
9,66,3,in_progress,2024-08-09 04:26:41.000,13,0,
9,66,3,completed,2024-09-11 01:43:44.000,15,1,2024-08-09 04:26:41.000
9,232,3,in_progress,2024-02-20 16:14:55.000,23,0,
9,232,3,completed,2024-05-07 20:47:58.000,24,1,2024-02-20 16:14:55.000
10,1,6,in_progress,2024-09-22 10:15:25.000,2,0,
10,1,6,in_progress,2024-10-02 01:09:49.000,3,0,2024-09-22 10:15:25.000
10,1,6,in_progress,2024-10-05 16:59:44.000,5,0,2024-10-02 01:09:49.000
10,1,6,completed,2024-10-06 18:48:18.000,6,1,2024-10-05 16:59:44.000
