id,courseId,skillId,level
1,1,166,Advanced
2,2,45,Beginner
3,2,75,Intermediate
4,2,122,Intermediate
5,2,118,Advanced
6,2,72,Advanced
7,3,81,Beginner
8,3,48,Intermediate
9,3,168,Intermediate
10,3,150,Intermediate
11,3,84,Beginner
12,4,135,Beginner
13,4,177,Beginner
14,4,170,Intermediate
15,4,116,Advanced
16,4,63,Advanced
17,4,23,Beginner
18,5,142,Beginner
19,5,20,Beginner
20,5,118,Beginner
21,5,81,Beginner
22,5,53,Beginner
23,5,178,Advanced
24,6,21,Beginner
25,6,185,Advanced
26,6,132,Beginner
27,6,187,Intermediate
28,6,5,Beginner
29,7,137,Advanced
30,8,200,Advanced
31,8,136,Intermediate
32,8,41,Intermediate
33,9,179,Advanced
34,9,62,Beginner
35,10,103,Intermediate
36,10,127,Intermediate
37,11,145,Advanced
38,11,14,Intermediate
39,11,188,Intermediate
40,11,181,Advanced
41,12,18,Beginner
42,12,192,Advanced
43,12,131,Beginner
44,13,46,Advanced
45,13,3,Intermediate
46,13,99,Intermediate
47,14,111,Beginner
48,14,158,Advanced
49,14,177,Intermediate
50,14,60,Beginner
51,15,17,Intermediate
52,15,14,Beginner
53,15,76,Intermediate
54,16,38,Advanced
55,16,171,Beginner
56,16,195,Advanced
57,16,198,Beginner
58,17,88,Intermediate
59,17,75,Advanced
60,17,65,Intermediate
61,17,87,Beginner
62,17,133,Beginner
63,17,94,Beginner
64,18,117,Beginner
65,18,175,Intermediate
66,18,27,Intermediate
67,19,8,Advanced
68,19,131,Advanced
69,20,136,Intermediate
70,20,150,Beginner
71,20,8,Intermediate
72,20,96,Beginner
73,21,65,Beginner
74,21,189,Beginner
75,22,25,Beginner
76,22,39,Advanced
77,23,96,Intermediate
78,23,123,Intermediate
79,23,105,Advanced
80,23,160,Intermediate
81,23,74,Advanced
82,23,29,Advanced
83,24,41,Beginner
84,24,108,Intermediate
85,24,97,Beginner
86,24,34,Advanced
87,24,42,Beginner
88,25,39,Intermediate
89,25,42,Beginner
90,26,149,Advanced
91,26,9,Advanced
92,26,161,Intermediate
93,26,93,Advanced
94,26,100,Intermediate
95,26,133,Advanced
96,27,178,Beginner
97,27,80,Intermediate
98,27,16,Beginner
99,28,6,Advanced
100,28,83,Advanced
101,28,161,Intermediate
102,28,143,Intermediate
103,28,129,Intermediate
104,29,180,Advanced
105,29,50,Intermediate
106,30,161,Intermediate
