progress_id,userId,courseId,progressStatus,last_updated,modulesCompleted,certificateProof
1,1,376,in_progress,2024-01-15 19:01:03.000,16,
2,1,376,in_progress,2024-03-26 01:05:43.000,19,
3,1,376,completed,2024-09-19 23:04:24.000,20,http://roberts.info/
4,2,331,in_progress,2024-01-18 01:59:25.000,6,
5,2,331,completed,2024-07-30 06:51:29.000,10,https://sellers.net/
6,2,119,in_progress,2024-07-18 11:08:39.000,6,
7,2,119,completed,2024-08-17 06:29:20.000,8,https://martin.com/
8,3,367,in_progress,2023-10-19 02:23:32.000,9,
9,3,367,completed,2024-01-19 20:27:54.000,10,http://mills.net/
10,3,341,in_progress,2023-12-05 03:41:02.000,19,
11,3,341,in_progress,2024-08-22 19:26:14.000,20,
12,3,341,in_progress,2024-09-23 16:17:57.000,22,
13,3,341,completed,2024-10-02 13:01:11.000,23,https://www.good-fernandez.com/
14,4,357,in_progress,2024-09-09 22:45:05.000,3,
15,4,357,in_progress,2024-09-28 02:42:32.000,5,
16,4,357,completed,2024-09-29 07:12:47.000,7,http://martinez.net/
17,5,110,in_progress,2023-12-19 08:03:57.000,8,
18,5,110,in_progress,2024-06-10 01:48:57.000,9,
19,5,110,in_progress,2024-07-19 07:18:54.000,13,
20,5,110,completed,2024-09-04 20:27:27.000,14,https://hickman.biz/
21,5,231,in_progress,2024-03-12 04:21:11.000,3,
22,5,231,in_progress,2024-08-27 23:42:08.000,6,
23,5,231,in_progress,2024-09-11 14:35:20.000,9,
24,5,231,completed,2024-09-29 12:39:38.000,14,https://russell.info/
25,6,381,in_progress,2024-03-20 02:13:34.000,1,
26,6,381,in_progress,2024-06-13 18:09:59.000,5,
27,6,381,in_progress,2024-08-17 04:10:42.000,8,
28,6,381,in_progress,2024-09-12 11:52:41.000,9,
29,6,381,in_progress,2024-10-04 10:11:47.000,11,
30,7,239,in_progress,2024-01-13 19:39:15.000,0,
31,7,239,in_progress,2024-05-07 14:42:58.000,1,
32,7,239,in_progress,2024-06-18 05:54:20.000,3,
33,7,239,completed,2024-07-09 01:14:28.000,5,https://www.sheppard.com/
34,7,134,in_progress,2024-03-31 02:03:29.000,11,
35,7,134,in_progress,2024-05-24 23:13:19.000,28,
36,7,134,completed,2024-06-21 07:20:39.000,29,http://sharp.com/
37,8,51,in_progress,2024-09-11 16:44:48.000,7,
38,8,51,in_progress,2024-09-14 20:30:08.000,27,
39,8,51,in_progress,2024-09-15 01:38:58.000,28,
40,8,51,completed,2024-09-16 11:41:18.000,29,http://www.welch.info/
41,9,232,in_progress,2024-02-20 16:14:55.000,23,
42,9,232,completed,2024-05-07 20:47:58.000,24,https://richardson.com/
43,9,9,in_progress,2024-09-28 02:28:22.000,2,
44,9,9,in_progress,2024-10-04 10:43:20.000,22,
45,9,9,in_progress,2024-10-05 13:07:43.000,25,
