id,userId,skillId,level
1,1,79,Beginner
2,1,3,Intermediate
3,1,151,Advanced
4,1,171,Advanced
5,1,107,Intermediate
6,1,52,Beginner
7,1,4,Beginner
8,1,41,Beginner
9,2,197,Advanced
10,2,134,Advanced
11,2,57,Advanced
12,2,118,Beginner
13,2,39,Advanced
14,2,112,Intermediate
15,2,93,Intermediate
16,2,177,Beginner
17,2,74,Advanced
18,2,136,Beginner
19,3,33,Advanced
20,3,105,Beginner
21,3,180,Beginner
22,3,167,Intermediate
23,3,183,Intermediate
24,3,97,Advanced
25,3,126,Beginner
26,3,58,Intermediate
27,3,102,Intermediate
28,3,115,Advanced
29,3,2,Advanced
30,3,120,Beginner
31,4,107,Advanced
32,4,130,Advanced
33,4,96,Beginner
34,4,156,Intermediate
35,4,61,Advanced
36,4,116,Beginner
37,4,178,Beginner
38,4,150,Beginner
39,5,54,Beginner
40,5,69,Intermediate
41,5,75,Intermediate
42,5,31,Beginner
43,5,8,Advanced
44,5,25,Advanced
45,6,158,Intermediate
46,7,81,Advanced
47,7,1,Intermediate
48,7,130,Beginner
49,7,139,Advanced
50,7,129,Intermediate
51,7,54,Intermediate
52,7,106,Beginner
53,7,43,Intermediate
54,7,82,Intermediate
55,8,76,Beginner
56,8,55,Intermediate
57,8,61,Advanced
58,8,7,Beginner
59,8,82,Beginner
60,8,148,Intermediate
61,8,42,Advanced
62,9,142,Beginner
63,9,23,Intermediate
64,9,64,Intermediate
65,9,109,Intermediate
66,9,111,Beginner
67,9,13,Intermediate
68,9,27,Intermediate
69,9,21,Beginner
70,9,38,Advanced
71,9,51,Beginner
72,9,163,Advanced
73,9,69,Advanced
74,9,128,Intermediate
75,9,94,Advanced
76,9,158,Intermediate
77,9,119,Intermediate
78,10,130,Advanced
79,10,111,Intermediate
80,10,8,Advanced
81,10,44,Intermediate
82,10,64,Advanced
83,10,71,Beginner
84,10,175,Advanced
85,10,172,Advanced
86,10,97,Intermediate
87,10,40,Advanced
88,10,166,Beginner
89,11,87,Beginner
90,11,193,Advanced
91,11,26,Beginner
92,11,103,Intermediate
93,11,40,Beginner
94,11,200,Advanced
95,11,141,Advanced
96,11,76,Beginner
97,11,53,Intermediate
98,11,69,Advanced
99,11,173,Advanced
100,11,15,Beginner
101,11,133,Intermediate
102,12,146,Intermediate
103,12,194,Advanced
104,12,70,Advanced
105,12,140,Beginner
106,12,60,Advanced
107,12,62,Advanced
108,12,101,Intermediate
109,12,166,Intermediate
110,13,63,Advanced
111,13,184,Intermediate
112,13,20,Intermediate
113,14,81,Beginner
114,14,88,Advanced
115,14,147,Intermediate
116,14,38,Beginner
117,14,16,Advanced
118,14,186,Beginner
119,14,156,Beginner
120,14,121,Advanced
121,14,42,Beginner
122,14,21,Advanced
123,14,112,Advanced
124,14,91,Beginner
125,14,184,Beginner
126,14,171,Beginner
127,14,193,Beginner
128,15,110,Beginner
129,15,30,Advanced
130,15,104,Beginner
131,15,200,Beginner
132,15,141,Beginner
133,16,104,Intermediate
134,16,175,Advanced
135,16,189,Advanced
136,16,149,Advanced
137,16,14,Intermediate
138,16,59,Beginner
139,16,117,Intermediate
140,16,57,Advanced
141,16,87,Advanced
142,16,163,Advanced
143,16,171,Intermediate
144,16,120,Intermediate
145,16,86,Beginner
146,16,181,Intermediate
147,16,139,Intermediate
148,17,50,Intermediate
149,17,55,Advanced
150,17,174,Beginner
151,17,142,Advanced
152,17,151,Advanced
153,17,126,Advanced
154,17,19,Advanced
155,17,105,Intermediate
156,17,74,Beginner
157,17,79,Beginner
158,17,88,Intermediate
159,17,8,Beginner
160,17,117,Intermediate
161,18,28,Beginner
162,19,196,Intermediate
163,19,27,Intermediate
164,20,41,Intermediate
165,20,71,Beginner
166,20,140,Advanced
167,20,17,Advanced
168,20,32,Beginner
169,20,158,Advanced
170,20,152,Beginner
171,20,101,Advanced
172,20,28,Beginner
173,21,37,Advanced
174,21,80,Intermediate
175,21,191,Intermediate
176,21,21,Intermediate
177,21,43,Beginner
178,22,132,Beginner
179,22,116,Intermediate
180,22,158,Beginner
181,22,198,Beginner
182,22,175,Intermediate
183,22,46,Beginner
184,22,45,Advanced
185,22,173,Intermediate
186,22,37,Advanced
187,22,59,Beginner
188,22,5,Beginner
189,22,49,Beginner
190,22,94,Advanced
191,22,170,Beginner
192,22,63,Beginner
193,23,177,Intermediate
194,23,139,Beginner
195,23,181,Intermediate
196,23,80,Beginner
197,23,113,Beginner
198,23,109,Beginner
199,23,68,Beginner
200,23,69,Beginner
201,23,105,Beginner
202,23,58,Intermediate
203,23,161,Advanced
204,24,96,Intermediate
205,25,75,Beginner
206,25,142,Intermediate
207,25,13,Advanced
208,25,27,Beginner
209,25,21,Intermediate
210,25,38,Advanced
211,25,51,Beginner
212,25,159,Beginner
213,25,111,Advanced
214,25,89,Intermediate
215,25,176,Intermediate
216,25,189,Beginner
217,25,163,Advanced
218,26,159,Beginner
219,26,129,Advanced
220,27,69,Advanced
221,27,25,Beginner
222,27,102,Advanced
223,27,64,Advanced
224,27,33,Advanced
225,28,12,Intermediate
226,28,155,Beginner
227,28,104,Advanced
228,28,17,Intermediate
229,28,173,Intermediate
230,29,111,Advanced
231,29,30,Intermediate
232,29,21,Intermediate
233,29,184,Beginner
234,29,107,Intermediate
235,29,113,Intermediate
236,29,168,Beginner
237,29,7,Beginner
238,29,63,Beginner
239,29,174,Intermediate
240,29,147,Beginner
241,30,156,Advanced
242,30,39,Advanced
243,30,144,Beginner
244,30,190,Intermediate
245,30,5,Beginner
246,30,110,Beginner
247,30,146,Intermediate
248,30,173,Intermediate
249,30,33,Beginner
250,30,44,Advanced
251,31,200,Advanced
252,31,42,Advanced
253,31,188,Intermediate
254,31,39,Intermediate
255,31,156,Intermediate
256,31,196,Advanced
257,31,120,Intermediate
258,31,83,Advanced
259,31,40,Intermediate
260,31,125,Advanced
261,31,58,Beginner
262,31,57,Intermediate
263,31,128,Beginner
264,31,5,Intermediate
265,31,198,Advanced
266,32,103,Beginner
267,32,30,Intermediate
268,32,8,Beginner
269,32,184,Beginner
270,32,53,Beginner
271,32,41,Advanced
272,32,179,Beginner
273,32,135,Beginner
274,32,81,Beginner
275,32,3,Beginner
276,32,75,Advanced
277,33,187,Intermediate
278,33,194,Advanced
279,34,55,Advanced
280,34,95,Beginner
281,34,75,Intermediate
282,34,163,Intermediate
283,34,109,Advanced
284,34,120,Beginner
285,34,124,Intermediate
286,34,137,Beginner
287,35,35,Intermediate
288,35,6,Advanced
289,35,151,Advanced
290,35,42,Intermediate
291,35,71,Advanced
292,35,128,Intermediate
293,35,67,Advanced
294,35,96,Advanced
295,35,122,Intermediate
296,35,118,Intermediate
297,35,25,Advanced
298,35,39,Intermediate
299,35,3,Intermediate
300,35,196,Intermediate
301,36,102,Beginner
302,36,8,Beginner
303,36,111,Intermediate
304,37,126,Advanced
305,38,149,Beginner
306,38,75,Intermediate
307,38,32,Beginner
308,38,181,Advanced
309,38,83,Intermediate
310,38,135,Beginner
311,38,177,Advanced
312,38,170,Advanced
313,38,116,Beginner
314,38,63,Intermediate
315,38,23,Advanced
316,38,147,Intermediate
317,38,152,Intermediate
318,38,34,Intermediate
319,38,76,Advanced
320,39,104,Intermediate
321,39,43,Advanced
322,39,26,Intermediate
323,39,149,Beginner
324,39,9,Advanced
325,39,161,Advanced
326,39,93,Beginner
327,39,100,Beginner
328,39,133,Beginner
329,39,89,Beginner
330,39,188,Advanced
331,39,74,Intermediate
332,39,110,Beginner
333,39,125,Advanced
334,39,11,Advanced
335,39,46,Intermediate
336,39,40,Advanced
337,39,21,Intermediate
338,39,22,Advanced
